run,N,goalX,goalY,obst1Dist,obst2Dist,obst2Angle,obst3Dist,obst3Angle
6,9,1.333333333333333,4,1.0,4.333333333333333,-0.7777777777777778,6.0,4.2
7,9,2.2222222222222214,4,2.5,3.833333333333333,0.11111111111111116,5.166666666666667,3.5
8,9,3.1111111111111107,4,2.0,3.0,0.33333333333333326,5.333333333333333,2.3333333333333335
9,9,4.0,4,1.8333333333333333,4.0,-0.33333333333333337,5.0,3.966666666666667
0,11,-4.0,4,1.6666666666666665,4.166666666666666,0.5555555555555554,6.333333333333333,2.1
1,11,-3.111111111111111,4,2.1666666666666665,3.5,-0.5555555555555556,6.166666666666666,3.7333333333333334
2,11,-2.2222222222222223,4,1.5,3.1666666666666665,0.7777777777777777,5.5,2.566666666666667
3,11,-1.3333333333333335,4,2.333333333333333,4.5,1.0,5.666666666666667,3.033333333333333
4,11,-0.44444444444444464,4,1.3333333333333333,3.6666666666666665,-0.11111111111111116,5.833333333333333,3.2666666666666666
5,11,0.44444444444444464,4,1.1666666666666667,3.3333333333333335,-1.0,6.5,2.8
6,11,1.333333333333333,4,1.0,4.333333333333333,-0.7777777777777778,6.0,4.2
7,11,2.2222222222222214,4,2.5,3.833333333333333,0.11111111111111116,5.166666666666667,3.5
8,11,3.1111111111111107,4,2.0,3.0,0.33333333333333326,5.333333333333333,2.3333333333333335
9,11,4.0,4,1.8333333333333333,4.0,-0.33333333333333337,5.0,3.966666666666667
0,13,-4.0,4,1.6666666666666665,4.166666666666666,0.5555555555555554,6.333333333333333,2.1
1,13,-3.111111111111111,4,2.1666666666666665,3.5,-0.5555555555555556,6.166666666666666,3.7333333333333334
2,13,-2.2222222222222223,4,1.5,3.1666666666666665,0.7777777777777777,5.5,2.566666666666667
3,13,-1.3333333333333335,4,2.333333333333333,4.5,1.0,5.666666666666667,3.033333333333333
4,13,-0.44444444444444464,4,1.3333333333333333,3.6666666666666665,-0.11111111111111116,5.833333333333333,3.2666666666666666
5,13,0.44444444444444464,4,1.1666666666666667,3.3333333333333335,-1.0,6.5,2.8
6,13,1.333333333333333,4,1.0,4.333333333333333,-0.7777777777777778,6.0,4.2
7,13,2.2222222222222214,4,2.5,3.833333333333333,0.11111111111111116,5.166666666666667,3.5
8,13,3.1111111111111107,4,2.0,3.0,0.33333333333333326,5.333333333333333,2.3333333333333335
9,13,4.0,4,1.8333333333333333,4.0,-0.33333333333333337,5.0,3.966666666666667
0,15,-4.0,4,1.6666666666666665,4.166666666666666,0.5555555555555554,6.333333333333333,2.1
1,15,-3.111111111111111,4,2.1666666666666665,3.5,-0.5555555555555556,6.166666666666666,3.7333333333333334
2,15,-2.2222222222222223,4,1.5,3.1666666666666665,0.7777777777777777,5.5,2.566666666666667
3,15,-1.3333333333333335,4,2.333333333333333,4.5,1.0,5.666666666666667,3.033333333333333
4,15,-0.44444444444444464,4,1.3333333333333333,3.6666666666666665,-0.11111111111111116,5.833333333333333,3.2666666666666666
5,15,0.44444444444444464,4,1.1666666666666667,3.3333333333333335,-1.0,6.5,2.8
6,15,1.333333333333333,4,1.0,4.333333333333333,-0.7777777777777778,6.0,4.2
7,15,2.2222222222222214,4,2.5,3.833333333333333,0.11111111111111116,5.166666666666667,3.5
8,15,3.1111111111111107,4,2.0,3.0,0.33333333333333326,5.333333333333333,2.3333333333333335
9,15,4.0,4,1.8333333333333333,4.0,-0.33333333333333337,5.0,3.966666666666667
